Date,Open,High,Low,Close,Shares Traded ,Turnover (₹ Cr)
1-Dec-23,12281.45,12359.2,12265.45,12334.5,464405177,10219.72
4-Dec-23,12515.35,12519.6,12412.9,12464.45,545623132,11639.2
5-Dec-23,12515.95,12551.45,12366.1,12508.05,541491724,10064.33
6-Dec-23,12566.8,12600.8,12486.75,12549.4,419987788,8766.66
7-Dec-23,12570.7,12647.25,12494.5,12631.2,525958265,9228.95
8-Dec-23,12683.5,12711.85,12512.35,12624.2,492435217,9459.01
11-Dec-23,12650.55,12696.5,12622.6,12684.7,505470530,8283.14
12-Dec-23,12724.35,12748.5,12581.4,12650.35,453555496,8878.3
13-Dec-23,12694.9,12827.2,12657.7,12815.55,673523710,10987.66
14-Dec-23,12904.2,13023.35,12890.4,13000.7,859428396,13801.66
15-Dec-23,13066.5,13072.5,12996.9,13029.35,701919139,14054.13
18-Dec-23,13049.65,13081.8,12963.75,13039.1,648060155,9592.77
19-Dec-23,13063.65,13071.25,12905.4,12977.65,512648655,8192.3
20-Dec-23,13044.15,13117,12504.1,12560,810190116,12708.39
21-Dec-23,12459.4,12785.75,12385.9,12764.85,581656489,9368.71
22-Dec-23,12836.8,12881.1,12744.95,12838.2,456843741,9412.42
26-Dec-23,12877.2,12950.35,12827.55,12905.6,530258335,7685.99
27-Dec-23,12961.9,13016.9,12874.25,12946.5,384722799,7961.82
28-Dec-23,12995.15,13078.05,12947.95,13066.25,564859552,12387.09
29-Dec-23,13102.75,13162.2,13037.55,13144.95,2013399512,12075.45
1-Jan-24,13185.8,13265.7,13147.9,13225.4,2046995081,11049.11
2-Jan-24,13261.45,13271.4,13046.35,13198.35,1420654093,12722.39
3-Jan-24,13207.95,13274.4,13108.55,13226.1,871887299,10291.27
4-Jan-24,13272.6,13474,13258.7,13455.2,778442459,11399.9
5-Jan-24,13518.3,13533.15,13364.1,13461.55,947795819,10843.78
8-Jan-24,13492.2,13498.35,13277.1,13291.05,545720912,9170.44
9-Jan-24,13391.25,13436.85,13231.25,13253.05,731951788,14367.69
10-Jan-24,13270.7,13275.65,13105.85,13235.85,461921068,10428.88
11-Jan-24,13271.55,13327.4,13223.65,13271.65,336523538,15180.86
12-Jan-24,13345.6,13375.85,13281.95,13353.8,305517896,11118.54
15-Jan-24,13447.8,13494.9,13356.75,13477.55,407505057,10886.35
16-Jan-24,13502.95,13512.9,13289.4,13410.85,719887080,11493.93
17-Jan-24,13300.15,13411.15,13222.15,13236.95,754723089,12219.66
18-Jan-24,13228.3,13326.1,12932.35,13292.5,591934125,16186.35
19-Jan-24,13412,13487.4,13352.6,13477.2,514565327,14616.67
20-Jan-24,13564.45,13583.5,13460.05,13473.3,338160033,6578.22
23-Jan-24,13577.5,13577.5,12956.05,13049.05,892792493,18655.95
24-Jan-24,13102.5,13368.65,12984.3,13356.2,932264638,15501.61
25-Jan-24,13405.1,13411.95,13160.3,13240,744085512,12626.95
29-Jan-24,13293.6,13556.8,13268.55,13543.8,646166919,16143.83
30-Jan-24,13623.25,13649.35,13464.95,13476.35,584138669,12661.93
31-Jan-24,13479.25,13633.65,13450.3,13620.6,456352198,11578.48
1-Feb-24,13672.35,13672.35,13427.4,13529.35,619810209,13867.77
2-Feb-24,13625.2,13747.35,13614.2,13657.7,670308226,13965.85
5-Feb-24,13728.3,13799.45,13625,13700.05,642524714,14810.05
6-Feb-24,13775.6,13872.25,13678.15,13862.9,746626821,13855.39
7-Feb-24,13950.7,13970.85,13830.05,13930.8,922603865,12961.14
8-Feb-24,14061.3,14065.5,13917.65,13948.6,598407529,13287.03
9-Feb-24,13976.3,13979,13584.35,13840.9,942834823,15779.73
12-Feb-24,13896.2,13899.2,13541.5,13579.3,779381139,16135.33
13-Feb-24,13607.8,13658.75,13404.4,13638.45,606546776,10235.2
14-Feb-24,13510.75,13826.7,13450.4,13776.35,779602591,10247.96
15-Feb-24,13871.85,13941,13830.5,13914.4,679619588,10883.6
16-Feb-24,13979.55,14067.6,13931.55,14035.45,,
19-Feb-24,14092.45,14092.5,14009.95,14022.25,447537507,9528.15
20-Feb-24,14001.2,14027.65,13922.4,13984,570649076,10122.47
21-Feb-24,14008.4,14033.55,13777.4,13813.55,712706836,10995.61
22-Feb-24,13867.85,13984.15,13702.55,13961.95,682668695,9093.99
23-Feb-24,14031.6,14141,14015.25,14062.2,2086817389,13360.49
26-Feb-24,14069.35,14083.8,13856.55,13977.9,1001858291,17179.06
27-Feb-24,13984.4,14063.75,13866.2,13931.95,955777062,10146.35
28-Feb-24,13956.85,13959.95,13581.45,13618.25,1861772531,11667.35
29-Feb-24,13621.3,13782.45,13505.3,13745.85,1331613713,18547.57
1-Mar-24,13799.85,13914.2,13795.8,13898.1,1049523242,10884.02
2-Mar-24,13955.55,14028.85,13927.45,13976.95,92427227,1146.62
4-Mar-24,14008,14075.65,13936.7,14056.75,608236853,11631.97
5-Mar-24,14068.9,14096.2,13967.5,13989.05,554593366,8205.52
6-Mar-24,14009.9,14014.5,13706.2,13915.8,713894761,11100.21
7-Mar-24,13937.3,14008.9,13921.05,13948.4,404755648,7830.01
11-Mar-24,13983.2,13990.7,13853.05,13876.4,439827139,10167.61
12-Mar-24,13897.95,13931.8,13666.35,13719.3,554848605,9874.96
13-Mar-24,13752.1,13797.75,13091.95,13189.05,963679504,12075.68
14-Mar-24,13123.4,13435.1,13034.2,13407.2,698501030,10047
15-Mar-24,13392.55,13436.55,13131.75,13345.55,635890407,12691.69
18-Mar-24,13332.05,13364.35,13120.45,13201.15,400251416,9432.73
19-Mar-24,13202.3,13209.35,12962.7,12981.9,467513034,8999.56
20-Mar-24,13029.25,13086,12837,12975.15,502359765,8339.11
21-Mar-24,13099.35,13319.8,13097.95,13305.4,406106781,9070.61
22-Mar-24,13262.8,13357.75,13210.9,13329.95,699267974,9603.95
26-Mar-24,13296.55,13504.3,13293.9,13474.1,540832666,9856.76
27-Mar-24,13516.4,13553.5,13440.65,13460.05,597271896,11127.49
28-Mar-24,13541.5,13579.25,13450.05,13526.5,893674375,10820.74
1-Apr-24,13640.45,13786.65,13602.3,13772.6,1015548913,10840.72
2-Apr-24,13824.15,13934.6,13744.7,13922.6,986873771,11769.16
3-Apr-24,13889.5,13988.25,13839.7,13955.85,1183649768,12131.53
4-Apr-24,14061.15,14079,13925.1,13941.15,1495964066,11272.33
5-Apr-24,13948.55,13988.3,13891,13978.35,1174716689,9952.88
8-Apr-24,14056.5,14058.7,13822.3,13957.1,1240454123,13064.15
9-Apr-24,14026.45,14054.65,13900.5,13941.6,779858868,9293.78
10-Apr-24,13984.75,14112.85,13969,14097.95,1052372212,12750.56
12-Apr-24,14095.7,14171.7,14037.65,14049.1,1669097561,12575.25
15-Apr-24,13854.9,13935.45,13752.65,13841.3,1395877274,12468.3
16-Apr-24,13758.55,13889.2,13707.35,13765.5,1599364947,10975.8
18-Apr-24,13847.3,13921.2,13648.6,13687.05,1284910406,11831.28
19-Apr-24,13578.45,13668.2,13385.05,13595.45,1245929735,10876.52
22-Apr-24,13686,13703.75,13612.3,13681.25,2282054397,12670.57
23-Apr-24,13756.55,13817.2,13727,13780.65,3378592134,14461.13
24-Apr-24,13843.8,13915.6,13825.85,13901.8,2232952822,14394.21
25-Apr-24,13886.85,13974.35,13838.55,13964.35,9028228881,24531.3
26-Apr-24,14003,14107.75,13985.65,14083.25,4623638339,20390.71
29-Apr-24,14152.6,14164.45,14077.65,14153.05,2301450452,14424.29
30-Apr-24,14209.9,14277.55,14144.05,14161.9,1672848601,15250.94
2-May-24,14217.75,14260.45,14164.55,14243.6,1499365260,14839.77
3-May-24,14268.95,14298.75,14113.9,14189.3,2286683620,20463.24
6-May-24,14292.3,14294.55,14083.05,14157.95,1243957111,13776.94
7-May-24,14186.95,14190.2,13775.1,13874.7,2079667072,14491.89
8-May-24,13876.95,14059,13796.4,14010.4,1204705394,12224.37
9-May-24,14034.75,14039.7,13730.9,13755.65,1125585049,10331.72
10-May-24,13794.15,13927.7,13654.05,13909.9,856511359,10765.4
13-May-24,13933.1,14086,13683.35,14064.8,942499300,13266.15
14-May-24,14091.1,14189.1,14004,14163.15,1174647690,9821.89
15-May-24,14213.1,14281.25,14156,14262.55,786233514,9524.33
16-May-24,14314.55,14411.5,14263.25,14396.9,875742925,12013.37
17-May-24,14440.3,14525.15,14404.25,14515.2,1039974119,13009.72
18-May-24,14581.65,14600.7,14551.15,14588.35,170617582,1847.66
21-May-24,14577.7,14627.65,14518.35,14614.5,1127779848,13593.87
22-May-24,14654.15,14658.55,14474.05,14618.6,948775609,14051.14
23-May-24,14675.95,14686.4,14533.25,14677.45,1432068799,12529.69
24-May-24,14687.85,14762.3,14623.8,14662.65,3506598227,15013.39
27-May-24,14717.55,14883.85,14669.7,14783.75,1573915147,18091.38
28-May-24,14819.95,14856.95,14595.1,14664.7,1104547716,11071.55
29-May-24,14616.25,14700.9,14556.3,14637.8,914762063,9369.55
30-May-24,14624.35,14634.25,14358.6,14390.85,1492152687,11731.39
31-May-24,14437.9,14492.3,14325.65,14443.45,2868228030,23936.62
3-Jun-24,14951.85,14958,14747.75,14919.5,2061552215,19201.41
4-Jun-24,14937.75,14937.75,13284.2,13762.25,4224197142,28189.75
5-Jun-24,13908.9,14514.95,13580.2,14456.35,2384562015,18922.16
6-Jun-24,14607.95,14824.65,14563.7,14724.25,1466409864,14621.59
7-Jun-24,14753.75,14963.3,14716.95,14952.4,1688456210,13086.46
10-Jun-24,14992.4,15045.2,14817.7,14908,1749053880,22931.98
11-Jun-24,14955.5,15093.45,14906.65,15031.9,1701959534,12557.45
12-Jun-24,15103.05,15273.6,15089.25,15243.4,1593447445,13452.55
13-Jun-24,15372.3,15387.15,15283.35,15378.35,1168865559,14404.89
14-Jun-24,15429.1,15539.05,15383.45,15523.6,1608148239,15642.71
18-Jun-24,15566.1,15599.7,15475.4,15591.55,1309853389,13236.91
19-Jun-24,15629.7,15629.9,15352.05,15442.95,3013107146,42685.99
20-Jun-24,15500.25,15633.95,15417.3,15616.6,1369763589,13612.07
21-Jun-24,15704.65,15748.65,15597.65,15623.8,2390345912,18438.33
24-Jun-24,15590.15,15734.2,15458.45,15707.65,1509847822,16280.18
25-Jun-24,15757.5,15816.45,15629.95,15659.85,1087076383,11292.22
26-Jun-24,15656.45,15691.65,15580.15,15595.45,2003088093,14367.44
